ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,mean,Label
OTU36,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Unknown,0.00356189839187732,OTU36
OTU43,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,TM7x,Unknown,0.00265884111617301,OTU43
OTU70,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Unknown,0.000713913591347744,OTU70
OTU78,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum,0.00114301621936398,OTU78
OTU111,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family XI,Parvimonas,Peptostreptococcus sp.,0.00131080740993912,OTU111
OTU233,Bacteria,Firmicutes,Bacilli,Staphylococcales,Gemellaceae,Unknown,Unknown,0.000155511462526323,OTU233
OTU81,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Unknown,0.00102565659577073,OTU81
OTU92,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella intermedia,0.000803149515695449,OTU92
OTU94,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Unknown,0.000802851289072052,OTU94
OTU133,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,[Eubacterium] nodatum group,Unknown,0.000877477395920114,OTU133
OTU124,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Unknown,0.000790886860709874,OTU124
OTU141,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,Unknown,0.000534649881447575,OTU141
OTU801,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Simkaniaceae,Unknown,Unknown,0.000293255131964809,OTU801
OTU114,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,Rothia dentocariosa,0.000396015490186609,OTU114
OTU170,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella nanceiensis,0.000411034097855361,OTU170
OTU138,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas endodontalis,0.000416941784587774,OTU138
OTU152,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter concisus,0.000360589049427887,OTU152
OTU192,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Unknown,0.0002749798686698,OTU192
OTU142,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,Candidatus Saccharimonas,TM7 phylum,0.000303055391706524,OTU142
OTU209,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas sputigena,0.000118091134689308,OTU209
OTU175,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,Unknown,Unknown,Unknown,0.000261099908847668,OTU175
OTU136,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Peptostreptococcus,Peptostreptococcus stomatis,0.000291855185488127,OTU136
OTU236,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Unknown,Unknown,0.000198517291953181,OTU236
OTU220,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),Unknown,Unknown,Unknown,0.000181212596711205,OTU220
OTU212,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Unknown,0.000194422850984718,OTU212
OTU166,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,Unknown,Unknown,Unknown,0.000186479389662319,OTU166
OTU218,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_7,Unknown,0.000150577080245008,OTU218
OTU315,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Unknown,0.000163537212053951,OTU315
OTU231,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,Neisseria sp. oral clone AP060,0.000156391257513865,OTU231
OTU240,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Unknown,0.000117219719966109,OTU240
OTU262,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_7,Prevotella baroniae,9.7821810751984e-05,OTU262
OTU305,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Unknown,uncultured Prevotella sp.,9.32904834502119e-05,OTU305
OTU283,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Shuttleworthia,Shuttleworthia satelles,6.34807765189673e-05,OTU283
OTU376,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,8.27839854920476e-05,OTU376
OTU242,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Filifactor,Filifactor alocis,6.35935937966248e-05,OTU242
OTU217,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,[Eubacterium] saphenum group,Eubacterium saphenum,2.31980255797186e-05,OTU217
OTU392,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacterium,Propionibacterium acidifaciens,5.83842357738779e-05,OTU392
OTU356,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_7,Unknown,4.02476050218907e-05,OTU356
OTU326,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Treponema sp. I:Q:AT20,3.96758773070705e-05,OTU326
OTU450,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,Olsenella uli,1.44088815951762e-05,OTU450
OTU287,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,7.81669411841292e-06,OTU287
OTU269,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Bergeyella,Unknown,2.6685430254446e-05,OTU269
OTU495,Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,Mycoplasmataceae genomosp.,1.20311044152816e-05,OTU495
OTU430,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_7,Unknown,2.49456907537184e-05,OTU430
OTU364,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Lactobacillus salivarius,2.04144106330291e-05,OTU364
OTU48,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,Unknown,1.25422299913432e-05,OTU48
OTU687,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Unknown,Unknown,9.68445335575128e-06,OTU687
OTU333,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1.14594168671474e-05,OTU333
OTU461,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Unknown,9.29610897225044e-06,OTU461
OTU264,Bacteria,Patescibacteria,Gracilibacteria,Gracilibacteria bacterium oral taxon 873,Unknown,Unknown,Unknown,8.52231269568652e-06,OTU264
OTU621,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,uncultured Bacteroidetes bacterium,Unknown,8.52046215031618e-06,OTU621
OTU682,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,DNF00809,Coriobacteriaceae bacterium,7.40048669646714e-06,OTU682
OTU5,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_7,Unknown,0.0607241856588564,OTU5
OTU72,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella pallens,0.00220492974345313,OTU72
