"","P01-A06-HLM094","P01-A07-HLM102","P01-A09-HLM053","P01-A11-HLM137","P01-A12-HLM131","P01-B10-HLM020","P01-C01-HLM080","P01-C09-HLM035","P01-D01-HLM079","P01-D04-HLM073","P01-D06-HLM093","P01-D07-HLM105","P01-D08-HLM086","P01-E02-HLM042","P01-E06-HLM100","P01-E07-HLM103","P01-E10-HLM023","P01-E12-HLM138","P01-F01-HLM066","P01-F06-HLM081","P01-F12-HLM140","P01-G03-HLM067","P01-G05-HLM083","P01-G06-HLM075","P01-H01-HLM063","P01-H04-HLM110","P01-H08-HLM052","P01-H11-HLM124","P01-H12-HLM148","P02-A01-HLM146","P02-A05-HLM167","P02-A09-HLM134","P02-A10-HLM405","P02-A11-HLM413","P02-A12-HLM421","P02-B01-HLM145","P02-B04-HLM001","P02-B08-HLM003","P02-B10-HLM406","P02-B11-HLM414","P02-B12-HLM422","P02-C10-HLM407","P02-C11-HLM415","P02-C12-HLM423","P02-D09-HLM400","P02-D10-HLM408","P02-D11-HLM416","P02-D12-HLM424","P02-E09-HLM401","P02-E10-HLM409","P02-E11-HLM417","P02-E12-HLM425","P02-F09-HLM402","P02-F10-HLM410","P02-F11-HLM418","P02-F12-HLM426","P02-G03-HLM036","P02-G09-HLM403","P02-G10-HLM411","P02-G11-HLM419","P02-G12-HLM427","P02-H02-HLM176","P02-H04-HLM162","P02-H06-HLM152","P02-H09-HLM404","P02-H10-HLM412","P02-H11-HLM420","P02-H12-HLM428","P03-A01-HLM429","P03-B01-HLM430","P03-C01-HLM431","P03-D01-NEC"
"Peptostreptococcaceae",3,25,15,46,1,62,17,19,82,7,63,8,32,259,74,0,72,1179,13,20,0,34,1,18,6,129,3,39,1350,9,33,9,0,70,0,11,2,26,36,10,0,31,394,0,0,52,3,2,0,0,0,0,2,0,188,31,1,0,0,48,34,18,44,26,0,1,0,0,23,127,0,0
"Pleomorphomonadaceae",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Porphyromonadaceae",1528,4889,83,345,7,5416,0,641,147,487,822,1859,2851,758,1240,1972,2548,254,4,213,326,81,1226,307,256,1173,380,687,295,475,49,99,0,1,0,22,1677,1297,0,0,0,0,1198,0,0,0,0,2,1,1,0,0,0,0,401,618,1438,0,0,3,173,1458,1186,3325,0,0,0,0,0,1,0,0
"Prevotellaceae",8944,3411,4489,11727,63,3437,16642,9325,687,17642,14179,5383,3653,16994,2459,28896,26311,19872,2235,392,5874,8130,5319,5308,17894,6264,9541,13853,1256,5458,2695,8174,102,14,1,358,2437,12108,3,1,0,0,5890,0,0,0,48,6,0,0,3,1,0,0,2352,1544,399,0,3,6,504,2361,13526,8595,0,0,0,0,0,5,1,0
"Propionibacteriaceae",7,6,6,2,7,26,2,22,136,2,0,5,1,17,8,0,8,14,6,22,9,25,2,486,1,6,1,27,403,1,18,2,0,13,232,46,16,2,5,1,1,2,2,0,7,16,6,3,4,1,8,14,1,0,10,2,5,5,0,50,7,3,13,13,6,4,2,19,15,13,0,0
"Pseudomonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,9,0,0,0,1,0,0,1,4,0,1,0,1,0,0,0,0,0,2,0,0,0,482,0,0,0,0,0,1,0,0,0,0
"Reyranellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,2,0,0,0,2
"Rhizobiaceae",16,4,21,0,621,4,1,4,2,8,0,0,1,3,1,0,1,0,0,1,0,16,0,2,0,94,0,0,1856,42,97,0,0,2,0,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,5,9,2,0,1,0,17,0,0,1,0,52,35,13,1,0,0,0,0,1,0,1
"Rhodocyclaceae",0,0,0,1,0,0,0,0,3,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
"Rikenellaceae",0,10,0,0,0,2,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,3,0,1,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0
