"","P01-A06-HLM094","P01-A07-HLM102","P01-A09-HLM053","P01-A11-HLM137","P01-A12-HLM131","P01-B10-HLM020","P01-C01-HLM080","P01-C09-HLM035","P01-D01-HLM079","P01-D04-HLM073","P01-D06-HLM093","P01-D07-HLM105","P01-D08-HLM086","P01-E02-HLM042","P01-E06-HLM100","P01-E07-HLM103","P01-E10-HLM023","P01-E12-HLM138","P01-F01-HLM066","P01-F06-HLM081","P01-F12-HLM140","P01-G03-HLM067","P01-G05-HLM083","P01-G06-HLM075","P01-H01-HLM063","P01-H04-HLM110","P01-H08-HLM052","P01-H11-HLM124","P01-H12-HLM148","P02-A01-HLM146","P02-A05-HLM167","P02-A09-HLM134","P02-A10-HLM405","P02-A11-HLM413","P02-A12-HLM421","P02-B01-HLM145","P02-B04-HLM001","P02-B08-HLM003","P02-B10-HLM406","P02-B11-HLM414","P02-B12-HLM422","P02-C10-HLM407","P02-C11-HLM415","P02-C12-HLM423","P02-D09-HLM400","P02-D10-HLM408","P02-D11-HLM416","P02-D12-HLM424","P02-E09-HLM401","P02-E10-HLM409","P02-E11-HLM417","P02-E12-HLM425","P02-F09-HLM402","P02-F10-HLM410","P02-F11-HLM418","P02-F12-HLM426","P02-G03-HLM036","P02-G09-HLM403","P02-G10-HLM411","P02-G11-HLM419","P02-G12-HLM427","P02-H02-HLM176","P02-H04-HLM162","P02-H06-HLM152","P02-H09-HLM404","P02-H10-HLM412","P02-H11-HLM420","P02-H12-HLM428","P03-A01-HLM429","P03-B01-HLM430","P03-C01-HLM431","P03-D01-NEC"
"Treponema sp. OMZ 838",0,1.52427406447679e-05,0,0,0,0,0,0,0,0,0,0,2.76380520700901e-05,0,0,0,0,1.55306030533166e-05,0,0,2.06504904491482e-05,0,0,0,0,2.99949008668526e-05,0,2.07202353818739e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64391648143425e-05,0,0,0,0,0,0,0,0,0
"Treponema sp. oral clone BZ013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000296834996846128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tropheryma whipplei",0,0,2.67215348849638e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92695857058708e-05,1.7648512230419e-05,0,0,0,0,1.75466301696759e-05,0,0,0,0,0,0,0,0,0,0,0
"uncultured Actinomyces sp.",0,0,0,0,0,0,0,0,0.00015356479736427,0,0,3.00851409488853e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16651862122755e-05,0,0,0,0,0,0,0,0,0,0
"uncultured Bacteroidetes bacterium",0,0.000670680588369789,0,0.00213049267643142,0,1.62373247383761e-05,0,0,4.18813083720735e-05,0,0,0,2.76380520700901e-05,2.56650454912931e-05,0.000315620984286584,3.38340776830424e-05,0,0,0,0,2.06504904491482e-05,0,0,0,4.26039536468984e-05,0,0,0,1.91868608376983e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7648512230419e-05,0,0,0,0,3.50932603393518e-05,0,0.000109317494443027,0,0,0,0,0,0,0,0,0
"uncultured Capnocytophaga sp.",0,0.0012346619922262,0,0,0,1.62373247383761e-05,0,0,0.00043277351984476,0,0,0,0,2.56650454912931e-05,0.000135266136122822,0,0,1.55306030533166e-05,0,0,0,0,5.17812758906379e-05,1.55397740516853e-05,0,0,0,0,0,5.52929142130436e-05,0,0.000158503724837534,0,0,0,0,0,1.0052979200386e-05,0,0,0,0,0,0,0,0,5.00801282051282e-05,0,0,0,0,0,0,0,7.85391714117416e-05,0.000141188097843352,0,0,0,0,3.50932603393518e-05,2.16651862122755e-05,1.82195824071712e-05,2.15786975098183e-05,0,0,0,0,0,0,0,0
"uncultured Eubacteriaceae bacterium",0,0,0,0,0,0,0,0,2.7920872248049e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000796254724764481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64391648143425e-05,0,0,0,0,0,0,0,0,0
"uncultured Leptotrichia sp.",0.000354906583517124,3.04854812895359e-05,0.000480987627929348,0.0025965379494008,0,5.68306365843164e-05,0,5.63316809373592e-05,0.000349010903100613,0.00156333818683424,5.31914893617021e-05,9.0255422846656e-05,8.29141562102703e-05,0.00136024741103854,0.000518520188470816,1.12780258943475e-05,0.000411073135783329,0.000326142664119648,0.0205109422214083,0.000125336842764931,8.26019617965927e-05,0.000482356869874958,2.5890637945319e-05,0.000186477288620223,0.000745569188820723,0.00044992351300279,0.000171838177533386,0.000414404707637479,1.91868608376983e-05,0.000138232285532609,0.00051656372824256,0.00269456332223807,0,0.000239081925406439,0,0.000186811133943583,0.00127915168143562,0.00851487338272697,0.000446791226645004,6.58241179568194e-05,0,0.00309877955758963,0.000497937117655428,0,0,0,0,0,0,0,0,0,0,0,0.00047123502847045,5.29455366912569e-05,2.23954134193317e-05,0,4.18369780314028e-06,0,1.75466301696759e-05,8.6660744849102e-05,0.000163976241664541,0.000172629580078546,0,0,0,0.00149413020277481,0,0,0,0
"uncultured Megasphaera sp.",0.00359976677567369,0,0.000748202976778986,0.00106524633821571,1.64554879052164e-05,4.05933118459403e-05,0.00522989758117237,0.000300435631665916,8.37626167441471e-05,0.00321863744348226,0.00159574468085106,0.00132374620175096,0.000304018572770991,0.00105226686514302,9.01774240818811e-05,0.00137591915911039,0.00783387947335659,0.000776530152665828,0.00540243567438879,6.26684213824654e-05,0.000289106866288074,0.0057882824384995,0.000103562551781276,0.00082360802473932,0.0101610429447853,0.00263955127628303,0.00424685781618225,0.00665119555758153,0.000671540129319442,0.0012717370269,0.00159460976979225,0.0113330163258837,0.000120690348795108,4.78163850812879e-05,0,0.000186811133943583,9.26921508286678e-05,0.00177937731846833,0.000243704305442729,0,1.86167737131155e-05,0.0009534706331045,0.000853606487409304,0,0,3.3206043499917e-05,0,0,0,0,0,0.000559910414333707,0,0,0.000157078342823483,0,0,0,8.36739560628057e-06,0,0,0.00023831704833503,0.00357103815180556,0.00170471710327565,0,0,0.000450653447498873,0.000213447171824973,0,0.000240429567493922,0,0
"uncultured Peptostreptococcaceae bacterium",0,3.04854812895359e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00125336842764931,0,7.4208749211532e-05,0,0,0,0,0,4.14404707637479e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.28783296286849e-05,0,0,0,0,0,0,5.34287927764272e-05,0,0
"uncultured Porphyromonas sp.",0.000608411286029356,0.000228641109671519,0,2.21926320461607e-05,0,0.00565058900895488,0,9.38861348955986e-05,0,0.000137941604720668,0,0.000992809651313216,0.000248742468630811,6.41626137282328e-05,4.50887120409406e-05,0.000473677087562593,0,0,0,6.26684213824654e-05,2.06504904491482e-05,3.7104374605766e-05,0,0,0.000106509884117246,2.99949008668526e-05,0.000392772977219167,8.28809415274958e-05,5.7560582513095e-05,0,0,0,0,0,0,0,0.000240999592154536,2.01059584007721e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000274887099941096,0.000300024707917123,0.000716653229418615,0,0,0,0.000122826411187731,0.000346642979396408,0.000218634988886055,0.00107893487549092,0,0,0,0,0,0,0,0
"uncultured Prevotella sp.",0.000532359875275686,0.000274369331605823,0.000106886139539855,0.000155348424323125,0,0,0.000134099937978779,3.75544539582394e-05,6.98021806201226e-05,9.19610698137788e-05,0.000141843971631206,3.00851409488853e-05,8.29141562102703e-05,0.000230985409421638,0.000112721780102351,7.89461812604322e-05,0.000716441750936659,0.000528040503812763,0,6.26684213824654e-05,0.000392359318533815,0.000482356869874958,0.000103562551781276,6.21590962067412e-05,0.000979890933878664,0.000119979603467411,9.81932443047918e-05,0.000186482118436865,0.00011512116502619,0.000110585828426087,8.98371701291409e-05,0.000832144555397052,0,0,0,0.000560433401830749,1.85384301657336e-05,4.02119168015441e-05,0,0,0,0,0,0,0,0,5.00801282051282e-05,0,0,0,0,0,0,0,0.000157078342823483,1.7648512230419e-05,2.23954134193317e-05,0,0,0,0,2.16651862122755e-05,0.000619465801843822,0.000366837857666911,0,0,0,0,0,0,0,0
"uncultured Treponema sp.",0,0.000106699184513376,5.34430697699276e-05,2.21926320461607e-05,0,4.05933118459403e-05,3.35249844946947e-05,0,0,0,1.77304964539007e-05,0,5.52761041401802e-05,0,0.000225443560204703,2.25560517886949e-05,7.04696804199993e-05,0,0,0,0,0.00018552187302883,0,0,2.13019768234492e-05,0.000119979603467411,0,0.000497285649164974,9.59343041884917e-06,0,0,0,0,0,0,0,0,1.0052979200386e-05,0,0,0,0,3.55669369753877e-05,0,0,0,0,0,0,0,0,0,0,0,7.85391714117416e-05,8.82425611520949e-05,0,0,0,0,5.26398905090277e-05,4.3330372424551e-05,0.000109317494443027,2.15786975098183e-05,0,0,0,0,0,0,0,0
"Veillonella atypica",0.0130047912388775,0.000259126590961055,0.00729497902359512,0.0179760319573901,9.87329274312983e-05,0.000129898597907009,0.0200144157433327,0.00268514345801412,0,0.0129511839987739,0,0.00700983784109029,0.000165828312420541,0.00585163037201483,2.25443560204703e-05,0.0149772183876934,0.032686186768143,0.0230163537250151,0.0213350425785185,0.000376010528294792,0.00357253484770263,0.0245259916144113,0.00403893951946976,0.0043355969604202,0.0720645875937287,0.00530909745343292,0.0125932835820896,0.0278065558824748,0.00203380724879602,0.00691161427663045,0.0059292532285233,0.0230226660326518,0.00090517761596331,3.18775900541919e-05,0,0.00354941154492808,0.00126061325126988,0.00574025112342043,0.00357432981316003,6.58241179568194e-05,0.00016755096341804,0.000143020594965675,0.0131953336178688,0,0,6.6412086999834e-05,0.00055088141025641,0,0,0,0,0,0,1.30948327789854e-05,0.000235617514235225,1.7648512230419e-05,0.000447908268386634,0,0.000184082703338172,0,0,0.000259982234547306,0.0238676529533943,0.00453152647706184,0,0,0,0.000426894343649947,0,8.01431891646408e-05,0,0
"Veillonella parvula",0.0286206809136309,0.00105174910448899,0.0145899580471902,0.0450954283177985,0.00041138719763041,0.00364527940376544,0.0483430276413497,0.00621526213008863,0.0014239644846505,0.0382251513525941,0.0432624113475177,0.055898191883029,0.02454259023824,0.0293608120420393,0.023874473025678,0.0382776198854153,0.0536978964800395,0.0414201183431953,0.0355278820620822,0.0018173842200915,0.0133608673205989,0.0456012763904864,0.0141103976801988,0.0257183260555392,0.101844751192911,0.0228861093614086,0.0427631578947368,0.0464547677261614,0.00638922465895355,0.041856736059274,0.01149915777653,0.0483436360754478,0.0017902401737941,0.000541919030921262,0,0.00859331216140482,0.016350895406177,0.0291234807435183,0.0182372055239643,0.000263296471827277,0.00037233547426231,0.00429061784897025,0.0214112960591834,0,0,0.00033206043499917,0.00325520833333333,1.03702167375298e-05,0,0,0.000109082975783579,0,0,0,0.0160612605537012,0.00181779675973315,0.00199319179432052,0,0.000225919681369575,0.000173485615151077,0.000807144987805092,0.00623957362913534,0.0635134642713989,0.0256786500366838,0,2.29457791239302e-05,0.000732311852185669,0.00120953397367485,0.00323974082073434,0.00144257740496353,0,0
"Veillonella rogosae",0,0,0,2.21926320461607e-05,0,4.05933118459403e-05,0,0,0,0,8.86524822695036e-05,0,0.000248742468630811,3.84975682369397e-05,0.000157810492143292,0,1.17449467366665e-05,0,0,0,2.06504904491482e-05,0,0,0,2.13019768234492e-05,0,0,0,0,0.000414696856597827,0,0,0,0,0,0,1.85384301657336e-05,6.03178752023162e-05,0,0,0,4.7673531655225e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000314156685646966,1.7648512230419e-05,0,0,0,0,0,8.6660744849102e-05,1.82195824071712e-05,2.15786975098183e-05,0,0,0,0,0,0,0,0
"Veillonella tobetsuensis",0.014880726037468,0.000533495922566878,0.00467626860486866,0.0247003994673768,0.000164554879052164,0.00299578641423039,0.02388655145247,0.00324846026738771,0.00174505451550306,0.0215342171813932,0.0430141843971631,0.0471133307259545,0.0249847990713614,0.0203780461200867,0.0206506301147508,0.0211801326295845,0.0188388945656131,0.0162605413968224,0.00769160333302811,0.00106536316350191,0.00890036138358286,0.0201847797855367,0.00836267605633803,0.0205280415222763,0.021621506475801,0.0172770628993071,0.0257266300078555,0.0178401226637935,0.00416354880178054,0.0312957894445827,0.00572711959573273,0.023973688381677,0.000965522790360864,0.00058973541600255,0,0.00448346721464599,0.0132549775684995,0.020598554381591,0.0136068237205524,0.000197472353870458,0.000186167737131155,0.00319412662090008,0.00675771802532366,0,4.22815102955478e-05,0.000365266478499087,0.00265424679487179,2.07404334750596e-05,0,0,0.000109082975783579,0.000559910414333707,0.000206398348813209,1.30948327789854e-05,0.0138228941684665,0.00202957890649818,0.00188121472722386,0,7.11228626533848e-05,0.000144571345959231,0.000684318576617361,0.00582793509110211,0.0361658710782349,0.0175434810754823,0,2.29457791239302e-05,0.00112663361874718,0.000498043400924938,0.00242980561555076,0.00112200464830497,0,0
"Veillonellaceae bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69797869466662e-05,0,0,0,0,0,0,0,0,0,0,2.07202353818739e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82195824071712e-05,0,0,0,0,0,0,0,0,0
"Wolinella succinogenes",0,1.52427406447679e-05,0,0,0,2.43559871075642e-05,0,0,0,0,0,0,2.76380520700901e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
