Genus	P01-A01-HLM069	P01-A02-HLM002	P01-A03-HLM038	P01-A04-HLM091	P01-A05-HLM061	P01-A06-HLM094	P01-A07-HLM102	P01-A08-HLM056	P01-A09-HLM053	P01-A10-HLM019	P01-A11-HLM137	P01-A12-HLM131	P01-B01-HLM062	P01-B02-HLM064	P01-B03-HLM037	P01-B04-HLM089	P01-B05-HLM107	P01-B06-HLM097	P01-B07-HLM098	P01-B08-HLM106	P01-B09-HLM054	P01-B10-HLM020	P01-B11-HLM136	P01-B12-HLM122	P01-C01-HLM080	P01-C02-HLM044	P01-C03-HLM045	P01-C04-HLM074	P01-C05-HLM114	P01-C06-HLM084	P01-C07-HLM104	P01-C08-HLM096	P01-C09-HLM035	P01-C10-HLM021	P01-C11-HLM117	P01-C12-HLM128	P01-D01-HLM079	P01-D02-HLM043	P01-D03-HLM025	P01-D04-HLM073	P01-D05-HLM090	P01-D06-HLM093	P01-D07-HLM105	P01-D08-HLM086	P01-D09-HLM055	P01-D10-HLM022	P01-D11-HLM101	P01-D12-HLM135	P01-E01-HLM065	P01-E02-HLM042	P01-E03-HLM049	P01-E05-HLM095	P01-E06-HLM100	P01-E07-HLM103	P01-E08-HLM112	P01-E09-HLM057	P01-E10-HLM023	P01-E11-HLM120	P01-E12-HLM138	P01-F01-HLM066	P01-F02-HLM041	P01-F03-HLM048	P01-F05-HLM092	P01-F06-HLM081	P01-F07-HLM087	P01-F08-HLM050	P01-F09-HLM058	P01-F10-HLM024	P01-F11-HLM116	P01-F12-HLM140	P01-G01-HLM068	P01-G03-HLM067	P01-G04-HLM109	P01-G05-HLM083	P01-G06-HLM075	P01-G07-HLM072	P01-G08-HLM051	P01-G09-HLM059	P01-G10-HLM018	P01-G11-HLM123	P01-G12-HLM178	P01-H01-HLM063	P01-H02-HLM039	P01-H03-HLM070	P01-H04-HLM110	P01-H05-HLM082	P01-H06-HLM078	P01-H07-HLM099	P01-H08-HLM052	P01-H09-HLM029	P01-H10-HLM017	P01-H11-HLM124	P01-H12-HLM148	P02-A01-HLM146	P02-A02-HLM016	P02-A03-HLM171	P02-A04-HLM004	P02-A05-HLM167	P02-A06-HLM172	P02-A07-HLM154	P02-A08-HLM085	P02-A09-HLM134	P02-A10-HLM405	P02-A11-HLM413	P02-A12-HLM421	P02-B01-HLM145	P02-B02-HLM177	P02-B03-HLM032	P02-B04-HLM001	P02-B05-HLM165	P02-B06-HLM013	P02-B07-HLM155	P02-B08-HLM003	P02-B09-HLM130	P02-B10-HLM406	P02-B11-HLM414	P02-B12-HLM422	P02-C01-HLM143	P02-C02-HLM182	P02-C03-HLM033	P02-C04-HLM006	P02-C05-HLM129	P02-C06-HLM010	P02-C07-HLM157	P02-C08-HLM111	P02-C09-HLM127	P02-C10-HLM407	P02-C11-HLM415	P02-C12-HLM423	P02-D01-HLM115	P02-D02-HLM186	P02-D03-HLM030	P02-D04-HLM173	P02-D05-HLM166	P02-D06-HLM189	P02-D07-HLM158	P02-D08-HLM005	P02-D09-HLM400	P02-D10-HLM408	P02-D11-HLM416	P02-D12-HLM424	P02-E01-HLM144	P02-E02-HLM184	P02-E03-HLM014	P02-E04-HLM174	P02-E05-HLM149	P02-E06-HLM190	P02-E07-HLM159	P02-E08-HLM132	P02-E09-HLM401	P02-E10-HLM409	P02-E11-HLM417	P02-E12-HLM425	P02-F01-HLM179	P02-F02-HLM187	P02-F03-HLM027	P02-F04-HLM175	P02-F05-HLM163	P02-F06-HLM126	P02-F07-HLM161	P02-F08-HLM007	P02-F09-HLM402	P02-F10-HLM410	P02-F11-HLM418	P02-F12-HLM426	P02-G01-HLM142	P02-G02-HLM188	P02-G03-HLM036	P02-G04-HLM147	P02-G05-HLM164	P02-G06-HLM141	P02-G07-HLM118	P02-G08-HLM008	P02-G09-HLM403	P02-G10-HLM411	P02-G11-HLM419	P02-G12-HLM427	P02-H01-HLM180	P02-H02-HLM176	P02-H03-HLM031	P02-H04-HLM162	P02-H05-HLM009	P02-H06-HLM152	P02-H07-HLM119	P02-H08-HLM011	P02-H09-HLM404	P02-H10-HLM412	P02-H11-HLM420	P02-H12-HLM428	P03-A01-HLM429	P03-B01-HLM430	P03-C01-HLM431	P03-D01-NEC
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Bulleidia	0	0	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	7	0	0	2	0	0	0	5	0	1	0	0	0	4	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	6	2	0	2	4	0	0	0	0	24	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	1	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	4	28	1	0	0	0	0	0	0	0	0	0	7	0	0	2	10	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae UCG-006	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	18	0	0	0	0	0	0	35	0	0	0	0	0	0	0	1	0	3	0	0	1	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	1	1	0	0	2	0	0	0	0	1	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;?;?	4	7	6	2	15	0	5	6	13	2	3	10	73	6	2	9	18	1	1	1	16	6	7	0	27	29	2	34	0	162	0	0	16	0	12	1	24	3	8	11	1	1	0	4	30	1	2	0	1	4	22	4	339	3	8	1	38	13	70	1	0	1	133	12	179	17	31	2	3	1	9	15	39	0	0	5	11	3	1	0	4	2	29	28	18	3	11	37	0	6	1	26	192	7	0	16	79	12	2	27	2	5	1	0	1	2	0	11	1	3	3	5	11	11	0	0	0	3	31	11	13	8	2	195	10	8	0	3	0	3	19	2	63	1	3	57	7	0	12	2	0	2	1	11	9	0	1	1	230	0	0	0	0	0	23	113	0	11	0	0	1	0	0	0	0	1	1	19	96	8	0	11	1	0	0	0	0	11	0	2	12	50	2	50	0	0	0	0	0	1	1	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia	9	168	503	1	3	11	7	7	5	39	1	0	0	97	0	7	16	6	5	0	2	286	77	1	1	1	7	9	100	11	12	1	17	10	4	1	138	50	13	10	2	1	12	6	27	8	0	8	3	13	3	5	3	11	37	4	8	0	25	1	27	2	1	11	6	11	13	0	17	7	48	6	24	2	138	44	79	1	11	951	11	3	41	31	71	0	100	3	6	33	0	1	6	0	23	0	131	12	30	8	0	3	9	13	3	0	163	13	8	21	57	0	19	8	0	1	0	19	5	119	336	38	43	5	761	6	4	36	0	292	474	18	22	33	88	6	49	0	0	0	0	32	0	24	63	6	13	15	5	0	0	0	1	0	280	82	69	23	19	40	22	1	2	43	19	99	3	74	40	201	17	0	27	0	1	56	27	17	60	0	19	26	6	8	3	0	2	0	0	0	0	1	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Dolosigranulum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1810	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	1	14	0	0	0	0	0	0	51	41	0	0	0	0	0	0	0	0	0	0	1	74	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella	252	411	3335	97	1492	186	483	111	132	1514	122	1165	86	653	223	153	1194	1005	112	21	35	2925	386	112	58	127	391	69	819	310	705	99	1188	576	327	226	498	2021	417	610	161	73	245	556	936	405	345	633	149	592	88	189	508	623	268	167	468	343	328	10	601	206	276	537	135	435	315	806	240	503	162	103	696	214	744	1412	2562	544	1041	3853	489	166	963	1220	526	91	1287	296	159	941	102	381	154	188	384	3	374	412	721	614	169	14	65	109	118	13	330	581	823	321	1537	497	960	539	310	18	73	397	133	1045	2742	687	542	170	2324	152	322	641	0	1131	2076	917	1315	1482	7957	171	542	0	59	5	0	238	156	693	603	677	395	1426	408	0	12	0	0	17	4425	372	199	320	873	1678	1013	44	31	1046	503	3359	210	751	476	553	661	440	1417	0	13	2086	363	109	935	91	294	1022	671	231	65	0	57	8	1	45	217	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;?	0	0	0	1	1	0	0	0	0	0	0	0	75	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	21	0	32	0	0	18	0	40	25	0	7	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	129	0	0	0	1	13	2	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	16	0	0	0	0	28	0	0	0	2	0	0	0	4	1	1	1	0	10	0	0	0	0	0	6	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	6	0	3	17	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	3	0	0	0	203	0	0	0	1	19	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	14	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Ligilactobacillus	0	0	0	0	0	0	6	0	0	0	0	0	64	0	1	0	1	0	0	0	0	0	0	0	35	0	3	0	0	0	0	0	0	0	2	0	20	0	0	0	0	0	0	0	0	0	0	0	3	0	0	7	0	0	0	4	0	137	0	0	53	0	8	16	3	32	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	77	0	0	0	38	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	3	0	39	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	9	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	3	6	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus	0	0	0	0	9	0	19	0	1	0	0	2	61	0	0	0	0	0	0	0	0	0	0	0	2	2	12	5	0	2	0	0	6	0	11	0	47	0	26	1	1	0	0	0	0	0	0	0	0	2	1	0	82	0	2	28	0	89	0	0	12	0	47	14	3	26	0	0	0	4	1	0	10	0	0	0	0	0	0	0	0	8	0	13	0	0	41	263	0	3	0	27	11	1	0	0	0	8	0	0	0	0	0	0	0	0	0	11	0	1	0	1	0	32	0	0	0	1	2	2	0	9	0	0	0	0	0	0	0	1	19	0	0	0	0	33	0	0	0	10	0	0	0	1	1	0	0	0	10	0	0	0	0	0	6	0	2	0	0	1	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	2	0	0	7	14	1	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Weissella	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0	11	6	0	2	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;?	2	10	4	0	6	3	2	3	1	5	3	2	43	8	5	1	11	10	7	0	2	12	6	1	7	2	5	20	2	1	9	3	7	2	5	5	12	2	7	5	4	1	2	2	8	3	5	0	3	5	2	0	6	12	4	9	17	6	6	2	21	1	11	5	3	0	1	4	3	5	47	15	10	0	7	18	9	7	11	1	3	3	15	63	5	0	7	8	0	12	0	14	23	2	4	0	1	6	8	2	0	1	0	0	0	2	2	16	7	6	0	3	2	15	1	0	1	0	0	8	10	14	5	1	8	1	0	4	0	2	28	6	7	9	14	4	5	0	0	0	0	0	0	4	13	2	9	3	15	0	0	0	0	1	93	7	2	2	4	7	7	0	0	7	7	3	1	12	8	210	9	28	10	1	0	1	1	1	8	0	17	9	14	0	1	0	0	0	0	0	0	1	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	38999	58457	6699	7564	25595	17582	12089	12854	27665	42346	15517	28308	34261	24705	5916	7281	56253	18325	9626	871	11928	60602	19174	11691	24834	40250	6985	13923	16310	23721	20527	8225	28201	19938	16704	7218	9781	17451	14665	28355	8006	9446	11653	9751	31025	10583	17426	4593	14029	28495	22548	29868	23828	32194	12276	11169	29932	36010	15755	2225	15228	6456	29596	11157	16754	15178	14165	20548	10351	22064	10461	8270	24332	13997	40776	59261	30786	28302	9845	22253	27818	13853	32222	19670	11710	6197	24569	39443	13931	27765	3501	18349	15757	16281	16213	580	15082	32165	28929	7254	13996	4344	688	27084	1020	747	9265	35870	23951	12589	8155	13190	56314	25604	13849	11312	811	7916	5396	16011	30237	13855	14832	10343	53199	8021	2020	5790	1	19760	39569	15060	27978	19766	39449	54057	14466	2	1291	118	13	7406	9762	28901	18922	26184	15916	11710	32968	4	126	3	5	364	47719	14688	6145	13091	14189	33608	14866	467	361	3152	626	13366	16047	25673	19870	11371	16551	28103	12366	1	653	7378	936	1163	26347	2149	16555	35715	20095	22075	4741	1	427	958	28	511	2358	365	0
Bacteria;Firmicutes;Bacilli;Mycoplasmatales;Mycoplasmataceae;Mycoplasma	0	1	3	0	0	0	2	0	0	0	0	0	0	0	0	1	0	4	0	0	0	2	0	0	31	0	1	6	0	2	0	0	0	0	0	0	6	0	0	0	1	0	0	0	2	0	0	0	1	6	0	0	3	0	0	0	5	4	6	0	0	0	10	0	52	1	0	0	0	0	2	2	3	0	4	0	0	0	0	0	0	3	3	18	2	0	1	6	0	47	0	7	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	10	1	17	0	0	0	0	6	0	0	6	0	0	2	2	0	0	0	0	4	5	0	1	9	1	0	0	0	0	0	0	2	2	5	0	4	2	0	0	0	0	0	0	17	5	0	2	0	0	0	0	0	0	5	7	0	0	85	0	0	0	0	0	0	0	1	0	4	0	4	9	3	1	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9652	0
Bacteria;Firmicutes;Bacilli;RF39;?;?	0	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	73	0	3	0	2	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	1	0	0	0	1	2	0	3	0	0	0	0	0	0	0	0	0	0	0	5	0	0	11	2	0	2	0	1	2	0	0	1	0	0	0	1	0	0	2	0	28	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	49	0	0	0	0	1	1	0	5	4	11	1	3	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	2	0	1	0	18	0	0	0	9	0	0	0	0	0	1	4	0	0	0	6	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;RF39;Firmicutes oral clone FM046;?	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	3	0	1	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	1	4	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	5	0	2	0	2	1	1	0	12	0	0	1	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	0	2	1	1	0	0	0	4	0	9	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	1	0	1	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Staphylococcales;Gemellaceae;?	6	6	3	0	5	3	1	3	2	2	1	0	0	16	5	0	6	3	1	0	2	118	4	0	0	0	3	1	2	3	5	0	8	0	5	2	9	3	4	6	0	0	9	2	4	12	5	0	1	5	0	0	7	30	4	6	8	1	0	0	30	3	4	6	3	0	0	2	6	4	1	1	23	1	10	22	1	3	11	5	4	5	11	10	4	0	19	2	7	34	1	24	6	0	0	0	1	2	7	5	0	0	0	3	0	1	2	13	7	5	7	2	4	17	0	0	3	0	0	16	20	10	0	5	7	0	5	41	0	4	84	58	22	7	22	1	7	0	0	0	0	0	0	8	17	2	3	5	10	0	0	0	0	1	38	6	2	5	17	17	9	5	2	19	3	16	1	25	8	4	19	3	40	0	0	43	3	2	29	1	0	17	16	3	0	0	0	0	0	5	9	0	0
Bacteria;Firmicutes;Bacilli;Staphylococcales;Gemellaceae;Gemella	55	794	217	87	2128	319	144	96	155	865	126	71	86	804	353	149	239	637	32	17	37	8773	1099	273	63	31	109	44	44	148	249	75	101	351	376	127	5793	985	320	242	26	447	72	258	417	417	1373	165	399	608	43	97	324	319	155	160	211	28	78	2	1016	130	88	355	150	447	549	429	617	85	381	180	1213	129	662	1089	259	420	383	457	194	72	463	1416	184	27	379	249	161	1192	180	288	389	201	391	23	248	605	433	653	240	83	18	76	154	10	129	360	227	158	349	426	463	1083	740	1	177	261	273	339	734	254	189	704	1734	658	277	2360	1	73	2685	2766	462	668	2735	149	1131	0	279	1	0	170	960	1122	403	460	85	61	309	0	9	0	1	111	5936	179	216	169	1466	2066	399	59	11	2053	372	1208	1629	1785	498	753	1666	325	544	0	55	2056	926	223	937	38	334	1240	391	105	61	0	110	0	4	49	274	12	0
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11	0	1	0	0	0	0	0	0	0	0	1	0	0	0	13	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	4	0	2	0	0	32	0	3	0	0	0	0	0	0	0	0	5	4	1	0	1	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	54	1680	0	2	0	1	6	2	6	2	22	0	0	1	0	2	0	0	2	1	0	0	3	4	27	0	9	0	0	0	1	1	0	11	2	1	0	0	3	1	0	1	1	2	1	0	8	0	1	1	0	1	0	0	0	8	3	5	4	0	7	0	0
Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;?;?	0	8	36	19	1	48	8	17	124	5	46	4	12	26	3	8	80	6	91	2	9	134	24	2	4	1	7	21	35	149	47	5	37	104	39	450	10	20	15	122	33	110	0	23	6	6	5	0	1	13	2	4	24	3	125	6	5	2	22	24	0	4	6	0	1	2	40	1	5	1	4	92	21	0	6	7	83	0	0	0	345	21	250	296	126	7	5	13	24	13	0	19	180	2	550	0	61	20	8	190	9	26	0	0	0	2	1	8	2	67	99	0	7	49	0	0	0	101	0	151	215	159	32	214	141	8	0	39	0	55	130	51	355	279	52	28	17	0	40	0	0	120	2	17	32	5	228	18	63	0	0	0	0	1	83	382	0	341	11	36	84	0	2	79	13	64	38	0	125	330	13	33	0	0	0	28	17	0	45	26	126	12	10	171	4	0	0	0	0	1	12	0	0
Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;Clostridiales bacterium oral taxon 075;?	0	4	15	0	0	7	3	1	28	1	35	1	4	8	1	1	70	4	8	0	0	32	20	0	0	2	4	1	0	7	7	5	0	26	0	318	3	11	5	45	4	86	0	1	0	0	0	0	0	1	1	1	9	0	62	0	1	0	1	18	0	2	0	0	0	1	1	0	2	6	1	11	15	0	0	1	16	0	0	0	206	2	168	69	26	2	2	0	2	7	0	2	65	0	82	2	5	3	2	165	5	5	0	0	0	0	0	3	0	19	4	2	1	12	0	0	0	27	0	49	77	18	4	20	76	1	0	4	0	25	30	29	164	121	4	12	1	0	4	0	0	30	0	9	10	1	75	9	11	0	0	0	0	1	16	233	2	248	5	6	9	0	0	11	3	23	3	0	63	90	3	12	3	0	0	3	8	0	25	13	12	6	0	11	1	0	0	0	0	0	4	0	0
Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;Clostridiales bacterium canine oral taxon 260;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;Clostridiales bacterium feline oral taxon 148;?	0	0	0	0	0	0	1	0	2	0	3	0	2	0	2	0	0	1	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	2	5	4	1	0	0	0	9	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	11	1	0	1	1	0	10	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	4	0	0	1	0	0	0	0	5	0	0	1	2	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	8	2	0	0	1	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	8	1	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae;Pseudoramibacter	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	2	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	9	1	1	3	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Defluviitaleaceae;Defluviitaleaceae UCG-011	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	2	0	1	0	0	0	5	1	1	0	0	0	4	0	1	1	0	0	6	0	0	4	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	4	0	4	0	15	0	0	0	0	1	7	1	0	0	0	0	0	0	3	5	0	0	0	4	0	0	0	0	0	0	2	14	0	0	2	2	0	7	0	4	7	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	5	0	1	0	4	0	0	0	0	0	1	0	1	0	3	0	2	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	13	9	0	3	0	0	0	0	0	4	3	2	0	0	3	4	0	0	0	0	0	0	0	0	1	0	2	19	4	3	0	0	0	0	0	0	0	0	0
