,logFC,level,p,Genus,ord
OTU4,-23.4765189142918,depleted,2.42233902595962e-29,OTU4,551.146940333099
OTU3,-22.6229374006847,depleted,3.72714331452348e-27,OTU3,511.797296635298
OTU26,-19.6097018845304,depleted,5.79019619768096e-05,OTU26,384.540408000157
OTU27,-19.5935699765396,depleted,7.81202029311619e-05,OTU27,383.907984425553
OTU18,-16.7877030213227,depleted,1.92548491404001e-05,OTU18,281.826972732128
