,logFC,level,p,Genus,ord
OTU4,-22.9901710188875,depleted,1.14202850119981e-87,OTU4,528.547963477696
OTU3,-22.7802530069362,depleted,5.96656605399678e-85,OTU3,518.939927060028
OTU26,-19.6097018845304,depleted,6.2858724877847e-13,OTU26,384.540408000157
OTU27,-19.4257716701018,depleted,1.06345646516736e-12,OTU27,377.360604978931
OTU95,-15.87237558971,depleted,1.46349271486792e-05,OTU95,251.93230686082
