"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"OTU128",1,1,0,1
"OTU150",1,1,0,1
"OTU186",1,0.384615384615385,0,1
"OTU176",1,1,0,1
"OTU147",1,1,0,1
"OTU157",1,1,0,1
"OTU165",1,1,0,1
"OTU130",1,1,0,1
"OTU211",1,1,0,1
"OTU184",1,1,0,1
"OTU199",1,1,0,1
"OTU160",1,1,0,1
"OTU200",1,1,0,1
"OTU302",1,1,0,1
"OTU235",1,1,0,1
"OTU226",1,1,0,1
"OTU201",1,0.5,0,1
"OTU257",1,1,0,1
"OTU310",1,1,0,1
"OTU351",1,0.666666666666667,0,1
"OTU275",1,1,0,1
"OTU324",2,0.75,0,2
"OTU385",1,1,0,1
"OTU238",1,1,0,1
"OTU342",1,0.6,0,1
"OTU244",1,1,0,1
"OTU311",1,0.666666666666667,0,1
"OTU388",1,1,0,1
"OTU293",1,1,0,1
"OTU261",1,1,0,1
"OTU509",3,1,0,3
"OTU348",1,1,0,1
"OTU448",1,1,0,1
"OTU497",2,0.545454545454545,0,2
"OTU255",1,1,0,1
"OTU350",2,0.75,2,2
"OTU460",1,1,0,1
"OTU517",1,1,0,1
"OTU535",1,0.666666666666667,0,1
"OTU375",1,1,0,1
"OTU478",1,0.428571428571429,0,1
"OTU486",1,0.5,0,1
"OTU50",1,1,0,1
"OTU661",1,1,0,1
"OTU321",1,1,0,1
"OTU590",1,0.666666666666667,0,1
"OTU684",1,1,0,1
"OTU66",1,0.666666666666667,0,1
"OTU428",1,1,0,1
"OTU580",1,1,0,1
"OTU402",1,0.666666666666667,0,1
"OTU677",1,1,0,1
