"","P01-A06-HLM094","P01-A07-HLM102","P01-A09-HLM053","P01-A11-HLM137","P01-A12-HLM131","P01-B10-HLM020","P01-C01-HLM080","P01-C09-HLM035","P01-D01-HLM079","P01-D04-HLM073","P01-D06-HLM093","P01-D07-HLM105","P01-D08-HLM086","P01-E02-HLM042","P01-E06-HLM100","P01-E07-HLM103","P01-E10-HLM023","P01-E12-HLM138","P01-F01-HLM066","P01-F06-HLM081","P01-F12-HLM140","P01-G03-HLM067","P01-G05-HLM083","P01-G06-HLM075","P01-H01-HLM063","P01-H04-HLM110","P01-H08-HLM052","P01-H11-HLM124","P01-H12-HLM148","P02-A01-HLM146","P02-A05-HLM167","P02-A09-HLM134","P02-A10-HLM405","P02-A11-HLM413","P02-A12-HLM421","P02-B01-HLM145","P02-B04-HLM001","P02-B08-HLM003","P02-B10-HLM406","P02-B11-HLM414","P02-B12-HLM422","P02-C10-HLM407","P02-C11-HLM415","P02-C12-HLM423","P02-D09-HLM400","P02-D10-HLM408","P02-D11-HLM416","P02-D12-HLM424","P02-E09-HLM401","P02-E10-HLM409","P02-E11-HLM417","P02-E12-HLM425","P02-F09-HLM402","P02-F10-HLM410","P02-F11-HLM418","P02-F12-HLM426","P02-G03-HLM036","P02-G09-HLM403","P02-G10-HLM411","P02-G11-HLM419","P02-G12-HLM427","P02-H02-HLM176","P02-H04-HLM162","P02-H06-HLM152","P02-H09-HLM404","P02-H10-HLM412","P02-H11-HLM420","P02-H12-HLM428","P03-A01-HLM429","P03-B01-HLM430","P03-C01-HLM431","P03-D01-NEC"
"OTU202",32,0,13,16,0,0,4,21,0,28,0,0,0,0,0,13,64,22,12,0,1,29,9,1,115,0,12,31,2,5,3,8,0,0,0,0,0,21,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,0,0,0,0,0,0,0,0
"OTU211",3,6,4,20,1,8,1,1,0,40,28,6,8,39,5,20,51,141,1,0,4,7,3,10,23,22,7,0,3,18,1,12,0,0,0,3,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,0,0,0,0,9,38,31,0,0,0,0,0,0,0,0
"OTU293",0,4,9,0,0,0,11,0,6,0,0,0,0,3,5,1,27,25,0,1,4,18,0,2,0,2,0,13,4,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,5,4,0,0,0,0,0,0,0,0
"OTU601",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"OTU289",7,1,4,15,0,2,9,8,0,9,5,2,2,12,1,9,20,20,3,0,4,12,0,3,6,2,8,18,0,2,4,7,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,8,0,0,0,0,0,0,0,0
"OTU132",5,154,57,2,0,0,15,11,30,0,2,0,4,38,17,36,309,209,4,7,103,124,7,0,9,20,3,92,55,6,18,43,0,0,0,6,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,8,0,0,0,0,7,138,21,0,0,0,0,0,0,0,0
"OTU330",0,5,7,1,0,0,4,0,0,0,0,0,0,3,3,0,59,38,2,0,2,10,0,0,3,5,0,1,4,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,8,1,0,0,0,0,0,0,0,0
"OTU5",3587,206,1778,4518,25,524,6881,2895,23,6722,1705,1681,771,6181,470,12167,10219,5241,910,65,2061,3171,2343,1959,6545,1965,3445,4747,232,1418,981,3447,38,1,0,110,903,4434,0,0,0,0,369,0,0,0,20,0,0,0,1,1,0,0,146,97,136,0,1,0,23,555,4398,2433,0,0,0,0,0,0,1,0
"OTU69",111,9,66,232,2,35,79,245,0,232,155,157,52,96,38,527,127,393,24,2,45,99,8,87,51,280,232,233,9,104,25,129,2,0,0,5,104,322,0,0,0,0,22,0,0,0,0,2,0,0,0,0,0,0,15,14,9,0,0,0,6,29,209,316,0,0,0,0,0,0,0,0
"OTU100",84,6,32,114,3,21,45,108,0,110,70,56,37,69,30,394,145,189,14,1,43,52,2,32,47,82,89,87,7,34,27,105,1,0,0,0,43,170,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,3,4,6,0,0,0,2,16,148,142,0,0,0,0,0,0,0,0
