"","P01-A06-HLM094","P01-A07-HLM102","P01-A09-HLM053","P01-A11-HLM137","P01-A12-HLM131","P01-B10-HLM020","P01-C01-HLM080","P01-C09-HLM035","P01-D01-HLM079","P01-D04-HLM073","P01-D06-HLM093","P01-D07-HLM105","P01-D08-HLM086","P01-E02-HLM042","P01-E06-HLM100","P01-E07-HLM103","P01-E10-HLM023","P01-E12-HLM138","P01-F01-HLM066","P01-F06-HLM081","P01-F12-HLM140","P01-G03-HLM067","P01-G05-HLM083","P01-G06-HLM075","P01-H01-HLM063","P01-H04-HLM110","P01-H08-HLM052","P01-H11-HLM124","P01-H12-HLM148","P02-A01-HLM146","P02-A05-HLM167","P02-A09-HLM134","P02-A10-HLM405","P02-A11-HLM413","P02-A12-HLM421","P02-B01-HLM145","P02-B04-HLM001","P02-B08-HLM003","P02-B10-HLM406","P02-B11-HLM414","P02-B12-HLM422","P02-C10-HLM407","P02-C11-HLM415","P02-C12-HLM423","P02-D09-HLM400","P02-D10-HLM408","P02-D11-HLM416","P02-D12-HLM424","P02-E09-HLM401","P02-E10-HLM409","P02-E11-HLM417","P02-E12-HLM425","P02-F09-HLM402","P02-F10-HLM410","P02-F11-HLM418","P02-F12-HLM426","P02-G03-HLM036","P02-G09-HLM403","P02-G10-HLM411","P02-G11-HLM419","P02-G12-HLM427","P02-H02-HLM176","P02-H04-HLM162","P02-H06-HLM152","P02-H09-HLM404","P02-H10-HLM412","P02-H11-HLM420","P02-H12-HLM428","P03-A01-HLM429","P03-B01-HLM430","P03-C01-HLM431","P03-D01-NEC"
"Rickettsiales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25443560204703e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saccharimonadales",0.00851775800441098,0.00129563295480527,0.0207359110707319,0.0245672436750999,0.000641764028303439,0.00211085221598889,0,0.0217815832957789,0.0129552847230947,0.00698904130584719,0.00441489361702128,0.00947681939889888,0.0014095406555746,0.00695522732814044,0.00399035101562324,0.00183831822077863,0.00159731275618665,0.000683346534345929,0.00686750297591796,0.00852290530801529,0.00113577697470315,0.00708693554970131,7.76719138359569e-05,0.00312349458438874,0.00443081117927744,0.0210264255076637,0.00223389630793401,0.0067547967344909,0.0136994186381166,0.00832158358906306,0.00314430095451993,0.00352670787763512,0.00010057529066259,0.00121134842205929,0,0.00952736783112273,0.000240999592154536,0.00695666160666714,0.0045085296506905,0.000131648235913639,0,0.0377574370709382,0.00373452838241571,0,0,0.0130499750954674,0,3.11106502125894e-05,0,2.52475841217943e-05,0,0,0,0.000104758662231883,0.00844296092676222,0.00248844022448908,4.47908268386634e-05,0,4.18369780314028e-06,0.00433714037877693,0.00243898159358495,0.0153606170245033,0.0225922821848923,0.0141772042639506,0,0.000550698698974324,0.00135196034249662,0.00341515474919957,0.000809935205183585,0.00181657895439853,0,0
"Sphingobacteriales",0,0.000670680588369789,0,0.00215268530847759,0,0.000211085221598889,0.000117337445731431,0,0.00015356479736427,0,0,0,2.76380520700901e-05,2.56650454912931e-05,0.000338165340307054,3.38340776830424e-05,0,0,0,0,4.13009808982963e-05,0.00103892248896145,0,0,6.39059304703477e-05,2.99949008668526e-05,0,2.07202353818739e-05,2.87802912565475e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92695857058708e-05,3.52970244608379e-05,0,0,0,0,8.77331508483796e-05,0,0.000163976241664541,0,0,0,0,0,0,0,0,0
"Sphingomonadales",0.0118640200775724,7.62137032238396e-05,0.000160329209309783,0,0.0567385222971861,8.11866236918805e-05,6.70499689893893e-05,1.87772269791197e-05,5.58417444960981e-05,0.000980918078013641,1.77304964539007e-05,0,2.76380520700901e-05,6.41626137282328e-05,0,0,0,1.55306030533166e-05,0,6.26684213824654e-05,0,0,0,0,0,0.00713878640631093,0,0,0.00188990579251329,0.00486577645074784,0.00269511510387423,3.96259312093834e-05,4.0230116265036e-05,0,0,0.0100878012329535,0,0,0,6.58241179568194e-05,0,0,0,0,2.11407551477739e-05,0,0,0,1.46087769531935e-05,0,0.000218165951567159,0,0,0,0,0,0.000335931201289976,0,0,0,0,0.0459085295838118,0.00787085959989797,0,0,0,0,0.000284596229099964,0,0,0,0.418181818181818
"Spirochaetales",0,0.000670680588369789,0.000507709162814312,8.87705281846427e-05,0,0.000617018340058292,0.000318487352699599,0,0.00071198224232525,0,5.31914893617021e-05,0,0.000304018572770991,2.56650454912931e-05,0.000608697612552697,3.38340776830424e-05,0.00152684307576665,0.000124244824426532,0,6.26684213824654e-05,0.000371708828084667,0.00115023561277875,0,1.55397740516853e-05,0.000127811860940695,0.000269954107801674,0,0.0042890887240479,9.59343041884917e-05,8.29393713195654e-05,2.24592925322852e-05,7.92518624187668e-05,0,0,0,0,0,2.01059584007721e-05,0,0,0,0,3.55669369753877e-05,0,0,3.3206043499917e-05,0,0,0,0,0,0,0,0,0.000863930885529158,0.000405915781299636,2.23954134193317e-05,0,0,0,8.77331508483796e-05,0.000129991117273653,0.00134824909813067,0.000582624832765094,0,6.88373373717905e-05,0,0,0,0,0,0
"Staphylococcales",0.00823890283164753,0.00221019739349135,0.00419528097693932,0.00281846426986241,0.00116833964127036,0.072183027124451,0.00105603701158288,0.00204671774072405,0.0810124108277143,0.00380105755230286,0.00794326241134752,0.00243689641685971,0.00718589353822343,0.00787916896582699,0.00746218184277566,0.00393603103712726,0.00257214333532997,0.00121138703815869,0.000183133412691146,0.02262330011907,0.00183789364997419,0.00671589180364365,0.00336578293289147,0.0104427281627325,0.00164025221540559,0.0056390413629683,0.00412411626080126,0.00646471343914467,0.0040963947888486,0.00555693787841088,0.0136327905670971,0.00328895229037882,0.000362071046385324,0.00133885878227606,0.00382807578620924,0.002241733607323,0.00433799265878165,0.00469474128658028,0.0302193338748985,6.58241179568194e-05,0.00335101926836079,0.0134439359267735,0.0853962156779058,1.87853399207259e-05,4.22815102955478e-05,0.00946372239747634,0.000150240384615385,0.000228144768225656,1.46087769531935e-05,5.68070642740373e-05,0,0.00223964165733483,0.00447196422428621,0.00017023282612681,0.0817985470253289,0.00665348911086795,0.0405356982889904,2.74842309225082e-05,0.000234287076975856,0.0606910510336851,0.0164411924689863,0.0209502350672704,0.00608534052399519,0.00878252988649605,0.000446030330062444,0.00259287304100411,0.000281658404686796,0.000569192458199929,0.00728941684665227,0.00774717495258195,0.000183536753234835,0
"Streptomycetales",2.53504702512232e-05,0,0,0,0,0,0,1.87772269791197e-05,0,1.53268449689631e-05,0,0,0,0,0,0,0,3.10612061066331e-05,0,0,0,0,0,0,0,0,0,2.07202353818739e-05,0,0,0,0,0,0,4.84566555216359e-05,0,0,0,4.06173842404549e-05,6.58241179568194e-05,0,0,0,0,4.22815102955478e-05,0,0.000100160256410256,2.07404334750596e-05,0,6.31189603044859e-06,0.000109082975783579,0.00111982082866741,0.000481596147230822,0,0,0.7085171720024,0,1.37421154612541e-05,8.36739560628057e-06,0,0.711182467407134,0,0,0,5.57537912578055e-05,4.58915582478603e-05,0,7.11490572749911e-05,0.000134989200863931,0,0,0.00909090909090909
"Streptosporangiales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.84566555216359e-05,0,0,0,0,0,1.86167737131155e-05,0,0,1.87853399207259e-05,0,0,0,0,0,0.0517070522814348,0,0,0,0.138176675483854,0,0,0,0,4.18369780314028e-06,0,0,0,0,0,0,6.88373373717905e-05,0,0,0,0,0,0
"Synergistales",2.53504702512232e-05,6.09709625790717e-05,0.000106886139539855,0,0,6.49492989535044e-05,0.000201149906968168,1.87772269791197e-05,5.58417444960981e-05,0,0,0,0,2.56650454912931e-05,0.000180354848163762,0,0.000540267549886661,0,0,0.000250673685529861,2.06504904491482e-05,0,0,0,2.13019768234492e-05,0,0,4.14404707637479e-05,0.000259022621308928,0,0,3.96259312093834e-05,0,0,0,0,0,0,0,0,0,0,7.11338739507754e-05,0,0,0,0,0,0,0,0,0,0,0,0.000549774199882191,0.000264727683456285,0,0,0,0,1.75466301696759e-05,8.6660744849102e-05,7.28783296286849e-05,6.47360925294549e-05,0,0,0,0,0,0,0,0
"Syntrophomonadales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011512116502619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tremellales",0,0,0,0,0,0,0,0,0,0,1.77304964539007e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24592925322852e-05,3.96259312093834e-05,2.0115058132518e-05,1.5938795027096e-05,0,0,9.26921508286678e-05,0,0,0,0,0,0,0,4.22815102955478e-05,0,0,0,1.46087769531935e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veillonellales-Selenomonadales",0.0695870408396076,0.00260650865025532,0.0294738529781151,0.0913226808699512,0.000839229883166036,0.010359413183084,0.104346514239737,0.0164864052876671,0.0121176585556533,0.0829642118169975,0.0935106382978723,0.115647281807515,0.0544193245260074,0.0593375851758697,0.0486732646481953,0.0869874137231019,0.127843745228615,0.0880895805184115,0.135518725391448,0.013599047439995,0.029406298399587,0.114021743163519,0.0276512013256007,0.0580721356311479,0.243992842535787,0.0545907195776718,0.0912215239591516,0.111764949649828,0.0260077898655001,0.085621077658898,0.0311285794497473,0.121889364400063,0.00400289656837108,0.00129104239719477,0,0.0212964692695685,0.0332950205776575,0.0619162988951776,0.0359870024370431,0.000526592943654555,0.000744670948524621,0.0110602593440122,0.048442168160478,0,6.34222654433216e-05,0.000962975261497593,0.00686097756410256,4.14808669501193e-05,0,0,0.000254526943495019,0.00111982082866741,0.000275197798417613,2.61896655579708e-05,0.0374239151776949,0.00467685574106103,0.00468064140464033,0,0.000556431807817658,0.000346971230302154,0.00191258268849467,0.0137790584310072,0.139343366250046,0.0556298821803116,0,0.000183566232991441,0.00264758900405588,0.00263251511917467,0.00620950323974082,0.00320572756658563,0,0
"Xanthomonadales",7.60514107536695e-05,0.000121941925158143,0.00307297651177084,0.00155348424323125,0.422099720256706,0,0,0.00414976716238546,0.660551995644344,4.59805349068894e-05,1.77304964539007e-05,0.000150425704744427,0.000608037145541982,5.13300909825863e-05,0.000135266136122822,1.12780258943475e-05,0,0.00124244824426532,0.00842413698379269,0,0,0.00115023561277875,0,3.10795481033706e-05,0,5.99898017337053e-05,4.90966221523959e-05,0.0160581824209523,0.653379765536561,0.0313510823587957,0.0544188658057271,0,0,1.5938795027096e-05,0,0,0,0.00312647653132006,0,0,0,0,0,0,0,3.3206043499917e-05,0,2.07404334750596e-05,0,0,0,0,6.87994496044032e-05,0,0,0,0,4.12263463837623e-05,0,0,0,0.0141473665966159,0.00189483657034581,0.00315048983643347,0,2.29457791239302e-05,0,0,0,0,0,0
