"","P01-A06-HLM094","P01-A07-HLM102","P01-A09-HLM053","P01-A11-HLM137","P01-A12-HLM131","P01-B10-HLM020","P01-C01-HLM080","P01-C09-HLM035","P01-D01-HLM079","P01-D04-HLM073","P01-D06-HLM093","P01-D07-HLM105","P01-D08-HLM086","P01-E02-HLM042","P01-E06-HLM100","P01-E07-HLM103","P01-E10-HLM023","P01-E12-HLM138","P01-F01-HLM066","P01-F06-HLM081","P01-F12-HLM140","P01-G03-HLM067","P01-G05-HLM083","P01-G06-HLM075","P01-H01-HLM063","P01-H04-HLM110","P01-H08-HLM052","P01-H11-HLM124","P01-H12-HLM148","P02-A01-HLM146","P02-A05-HLM167","P02-A09-HLM134","P02-A10-HLM405","P02-A11-HLM413","P02-A12-HLM421","P02-B01-HLM145","P02-B04-HLM001","P02-B08-HLM003","P02-B10-HLM406","P02-B11-HLM414","P02-B12-HLM422","P02-C10-HLM407","P02-C11-HLM415","P02-C12-HLM423","P02-D09-HLM400","P02-D10-HLM408","P02-D11-HLM416","P02-D12-HLM424","P02-E09-HLM401","P02-E10-HLM409","P02-E11-HLM417","P02-E12-HLM425","P02-F09-HLM402","P02-F10-HLM410","P02-F11-HLM418","P02-F12-HLM426","P02-G03-HLM036","P02-G09-HLM403","P02-G10-HLM411","P02-G11-HLM419","P02-G12-HLM427","P02-H02-HLM176","P02-H04-HLM162","P02-H06-HLM152","P02-H09-HLM404","P02-H10-HLM412","P02-H11-HLM420","P02-H12-HLM428","P03-A01-HLM429","P03-B01-HLM430","P03-C01-HLM431","P03-D01-NEC"
"Pseudomonadales",0,914,0,2,0,369,0,0,0,5,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,1,0,0,1,23,11,0,0,4,1,0,0,1,7,4,2,1,2,0,0,325,187,1,3,1,1,28,482,75,0,7,1,0,3,0,4,0,0
"Reyranellales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,2,0,0,0,2
"RF39",0,0,0,0,0,10,0,0,3,0,73,0,3,0,1,0,3,0,0,0,0,0,0,0,0,2,1,0,2,4,1,30,0,0,0,0,1,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
"Rhizobiales",16,4,21,0,670,6,1,4,5,8,0,0,1,3,1,0,1,0,0,4,0,16,0,2,0,94,0,0,1858,42,97,0,0,2,0,1,0,6,0,0,51023,0,0,0,0,0,1,3,3,0,6,9,3,0,3,0,18,2,1,2,2,53,35,15,1,0,0,0,4,3,0,2
"Rickettsiales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saccharimonadales",336,85,776,1107,39,260,0,1160,928,456,249,315,51,542,177,163,136,44,75,136,55,191,3,201,208,701,91,326,1428,301,140,89,5,76,0,51,13,692,111,2,0,792,105,0,0,393,0,3,0,4,0,0,0,8,215,141,2,0,1,150,139,709,1240,657,0,24,24,48,6,68,0,0
"Sphingobacteriales",0,44,0,97,0,26,7,0,11,0,0,0,1,2,15,3,0,0,0,0,2,28,0,0,3,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0
"Sphingomonadales",468,5,6,0,3448,10,4,1,4,64,1,0,1,5,0,0,0,1,0,1,0,0,0,0,0,238,0,0,197,176,120,1,2,0,0,54,0,0,0,1,0,0,0,0,1,0,0,0,1,0,6,0,0,0,0,0,15,0,0,0,0,2119,432,0,0,0,0,4,0,0,0,46
"Spirochaetales",0,44,19,4,0,76,19,0,51,0,3,0,11,2,27,3,130,8,0,1,18,31,0,1,6,9,0,207,10,3,1,2,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,22,23,1,0,0,0,5,6,74,27,0,3,0,0,0,0,0,0
"Staphylococcales",325,145,157,127,71,8891,63,109,5803,248,448,81,260,614,331,349,219,78,2,361,89,181,130,672,77,188,168,312,427,201,607,83,18,84,158,12,234,467,744,1,180,282,2401,1,2,285,3,22,1,9,0,4,65,13,2083,377,1810,2,56,2099,937,967,334,407,8,113,5,8,54,290,12,0
"Streptomycetales",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,2,0,2,2,0,1,3,2,7,0,0,40146,0,1,2,0,40531,0,0,0,1,2,0,1,1,0,0,1
"Streptosporangiales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8192,0,0,0,10552,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0
"Synergistales",1,4,4,0,0,8,12,1,4,0,0,0,0,2,8,0,46,0,0,4,1,0,0,0,1,0,0,2,27,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14,15,0,0,0,0,1,4,4,3,0,0,0,0,0,0,0,0
"Syntrophomonadales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tremellales",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,5,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veillonellales-Selenomonadales",2745,171,1103,4115,51,1276,6225,878,868,5413,5274,3844,1969,4624,2159,7713,10885,5672,1480,217,1424,3073,1068,3737,11454,1820,3716,5394,2711,3097,1386,3076,199,81,0,114,1796,6159,886,8,40,232,1362,0,3,29,137,4,0,0,7,2,4,2,953,265,209,0,133,12,109,636,7648,2578,0,8,47,37,46,120,0,0
"Xanthomonadales",3,8,115,70,25651,0,0,221,47316,3,1,5,22,4,6,1,0,80,92,0,0,31,0,2,0,2,2,775,68107,1134,2423,0,0,1,0,0,0,311,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,3,0,0,0,653,104,146,0,1,0,0,0,0,0,0
