"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"OTU50",2,0.75,0,2
"OTU518",1,1,0,1
"OTU469",1,1,0,1
"OTU265",2,0.454545454545455,4,2
"OTU266",4,1,0,4
"OTU428",4,1,0,4
"OTU735",4,1,0,4
"OTU342",4,1,0,4
"OTU453",1,1,0,1
"OTU421",7,1,0,7
"OTU508",7,1,0,7
"OTU554",7,1,0,7
"OTU463",7,1,0,7
"OTU470",7,1,0,7
"OTU659",7,1,0,7
"OTU295",7,1,0,7
"OTU473",1,1,0,1
"OTU500",2,0.461538461538462,5,2
"OTU141",3,0.615384615384615,0,3
"OTU441",3,0.615384615384615,0,3
"OTU407",1,1,0,1
"OTU434",1,0.666666666666667,0,1
"OTU385",3,1,0,3
"OTU454",3,1,0,3
"OTU339",3,1,0,3
"OTU657",3,1,0,3
"OTU576",3,1,0,3
"OTU756",3,1,0,3
"OTU642",3,1,0,3
"OTU255",3,1,0,3
"OTU738",3,1,0,3
"OTU511",1,1,0,1
"OTU220",1,1,0,1
"OTU184",1,0.444444444444444,0,1
"OTU415",1,1,0,1
"OTU423",3,0.6,8,3
"OTU591",1,1,0,1
"OTU567",1,1,0,1
"OTU443",2,1,0,2
"OTU492",2,1,0,2
"OTU18",1,1,0,1
"OTU498",1,1,0,1
"OTU472",1,1,0,1
"OTU321",1,1,0,1
"OTU350",1,1,0,1
"OTU1",1,1,0,1
"OTU11",1,1,0,1
"OTU6",1,1,0,1
"OTU7",1,0.416666666666667,0,1
"OTU5",1,1,0,1
"OTU13",2,1,0,2
"OTU10",3,0.5,0,3
"OTU17",1,1,0,1
"OTU37",3,0.636363636363636,4,3
"OTU15",3,0.8,0,3
"OTU28",2,1,0,2
"OTU29",2,0.625,1.5,2
"OTU30",1,0.5,0,1
"OTU91",1,1,0,1
"OTU35",1,1,0,1
"OTU41",3,0.4375,6,3
"OTU34",3,1,0.5,3
"OTU79",1,1,0,1
"OTU80",1,1,0,1
"OTU72",2,0.368421052631579,0,2
"OTU49",2,0.571428571428571,3,2
"OTU104",1,1,0,1
"OTU125",1,0.666666666666667,0,1
"OTU43",1,1,0,1
"OTU253",19,1,0,19
"OTU217",1,1,0,1
"OTU102",1,1,0,1
"OTU108",1,1,0,1
"OTU221",3,0.625,0,3
"OTU148",1,1,0,1
"OTU153",1,1,0,1
"OTU74",2,1,0,2
"OTU109",1,0.5,0,1
"OTU132",1,1,0,1
"OTU107",1,1,0,1
"OTU115",1,1,0,1
"OTU103",1,1,0,1
"OTU83",1,0.35,0,1
"OTU155",1,0.571428571428571,0,1
"OTU152",1,0.4,0,1
"OTU105",1,0.5,0,1
"OTU157",1,1,0,1
"OTU149",2,0.571428571428571,3,2
"OTU190",1,1,0,1
"OTU196",1,0.666666666666667,0,1
"OTU248",1,1,0,1
"OTU211",1,0.333333333333333,0,1
"OTU160",1,1,0,1
"OTU54",1,0.666666666666667,0,1
"OTU93",1,0.5,0,1
"OTU270",1,1,0,1
"OTU161",2,0.666666666666667,3,2
"OTU290",4,0.454545454545455,16,4
"OTU119",1,1,0,1
"OTU165",1,1,0,1
"OTU131",1,1,0,1
"OTU199",1,1,0,1
"OTU172",1,1,0,1
"OTU138",1,1,0,1
"OTU127",1,1,0,1
"OTU345",12,1,0,12
"OTU229",3,0.5,5,3
"OTU257",1,1,0,1
"OTU233",1,1,0,1
"OTU291",2,1,0,2
"OTU197",1,1,0,1
"OTU330",1,1,0,1
"OTU231",4,1,1,4
"OTU377",7,1,0,7
"OTU314",1,0.263157894736842,0,1
"OTU364",1,1,0,1
"OTU512",20,1,0,20
"OTU259",2,0.571428571428571,3,2
"OTU343",1,1,0,1
"OTU202",1,0.5,0,1
"OTU444",2,1,0,2
"OTU325",2,1,0,2
"OTU340",1,1,0,1
"OTU393",3,0.615384615384615,0,3
"OTU430",1,1,0,1
"OTU401",2,1,1,2
"OTU243",1,1,0,1
"OTU210",1,1,0,1
"OTU464",3,1,0,3
"OTU97",1,0.666666666666667,0,1
"OTU543",11,1,0,11
"OTU137",4,0.666666666666667,0,4
"OTU234",1,1,0,1
"OTU586",3,1,2,3
"OTU273",1,1,0,1
"OTU320",1,1,0,1
"OTU313",2,0.555555555555556,6,2
"OTU307",4,1,0,4
"OTU450",1,1,0,1
"OTU517",7,1,0,7
"OTU406",1,1,0,1
"OTU516",1,0.333333333333333,0,1
"OTU193",3,0.615384615384615,0,3
"OTU371",1,0.333333333333333,0,1
"OTU352",1,1,0,1
"OTU376",3,1,0,3
"OTU369",3,1,0,3
"OTU269",3,1,0,3
"OTU387",1,1,0,1
"OTU261",1,1,0,1
"OTU440",1,1,0,1
"OTU361",1,1,0,1
"OTU456",1,1,0,1
"OTU411",2,1,0,2
"OTU21",1,1,0,1
"OTU692",1,1,0,1
"OTU409",1,1,0,1
"OTU539",1,1,0,1
"OTU357",1,1,0,1
