,logFC,level,p,Genus,ord
OTU264,-7.24196287302986,depleted,0.000339972868893667,OTU264,52.446026254343
OTU217,-6.92476174120981,depleted,4.14462907813846e-07,OTU217,47.9523251725231
OTU221,-6.825480127672,depleted,2.68212105912056e-06,OTU221,46.5871789732454
OTU512,-5.66044619321325,depleted,0.000302024141464058,OTU512,32.0406511062624
OTU239,-4.79980304658959,depleted,4.76745420151383e-07,OTU239,23.0381092860507
