,Pvalues,FDR,COPD_IFNnegative,COPD_IFNpositive,TB_IFNpositive,max,min,LDAscore,class,color
f__Bacteria_Rank_Actinobacteriota_Rank_Actinobacteria_Rank_Corynebacteriales_Rank_Mycobacteriaceae,1.6789e-13,2.3924e-11,0.193548387096774,0.111111111111111,23838.625,23838.625,0.111111111111111,4.08,TB_IFNpositive,blue
g__Bacteria_Rank_Actinobacteriota_Rank_Actinobacteria_Rank_Corynebacteriales_Rank_Mycobacteriaceae_Rank_Mycobacterium,1.6789e-13,2.3924e-11,0.193548387096774,0.111111111111111,23838.625,23838.625,0.111111111111111,4.08,TB_IFNpositive,blue
o__Bacteria_Rank_Actinobacteriota_Rank_Actinobacteria_Rank_Corynebacteriales,4.1716e-12,3.963e-10,18.5161290322581,19.7777777777778,23843.46875,23843.46875,18.5161290322581,4.08,TB_IFNpositive,blue
g__Bacteria_Rank_Bacteroidota_Rank_Bacteroidia_Rank_Bacteroidales_Rank_Prevotellaceae_Rank_Prevotella_7,5.7956e-11,3.623e-09,6281.09677419355,4473.44444444444,50.65625,6281.09677419355,50.65625,3.49,COPD_IFNnegative,darkgreen
g__Bacteria_Rank_Bacteroidota_Rank_Bacteroidia_Rank_Bacteroidales_Rank_Prevotellaceae_Rank_Prevotella,6.3562e-11,3.623e-09,743.354838709677,1083.33333333333,21.34375,1083.33333333333,21.34375,2.73,COPD_IFNpositive,red
f__Bacteria_Rank_Fusobacteriota_Rank_Fusobacteriia_Rank_Fusobacteriales_Rank_Fusobacteriaceae,3.7149e-10,1.0508e-08,1948.61290322581,4124.33333333333,56.84375,4124.33333333333,56.84375,3.31,COPD_IFNpositive,red
g__Bacteria_Rank_Fusobacteriota_Rank_Fusobacteriia_Rank_Fusobacteriales_Rank_Fusobacteriaceae_Rank_Fusobacterium,3.7149e-10,1.0508e-08,1948.61290322581,4124.33333333333,56.84375,4124.33333333333,56.84375,3.31,COPD_IFNpositive,red
f__Bacteria_Rank_Bacteroidota_Rank_Bacteroidia_Rank_Bacteroidales_Rank_Prevotellaceae,4.0555e-10,1.0508e-08,8102,7053.66666666667,323.0625,8102,323.0625,3.59,COPD_IFNnegative,darkgreen
o__Bacteria_Rank_Bacteroidota_Rank_Bacteroidia_Rank_Bacteroidales,4.0727e-10,1.0508e-08,9202.8064516129,8008.11111111111,401.40625,9202.8064516129,401.40625,3.64,COPD_IFNnegative,darkgreen
p__Bacteria_Rank_Bacteroidota,4.4465e-10,1.0508e-08,9245.77419354839,8247.44444444445,418.40625,9245.77419354839,418.40625,3.64,COPD_IFNnegative,darkgreen
c__Bacteria_Rank_Bacteroidota_Rank_Bacteroidia,4.4465e-10,1.0508e-08,9245.77419354839,8247.44444444445,418.40625,9245.77419354839,418.40625,3.64,COPD_IFNnegative,darkgreen
c__Bacteria_Rank_Proteobacteria_Rank_Gammaproteobacteria,5.1059e-10,1.0508e-08,7438.22580645161,13334.7777777778,284.375,13334.7777777778,284.375,3.81,COPD_IFNpositive,red
g__Bacteria_Rank_Actinobacteriota_Rank_Actinobacteria_Rank_Actinomycetales_Rank_Actinomycetaceae_Rank_Actinomyces,5.1321e-10,1.0508e-08,1285.1935483871,1330.88888888889,39.40625,1330.88888888889,39.40625,2.81,COPD_IFNpositive,red
o__Bacteria_Rank_Actinobacteriota_Rank_Actinobacteria_Rank_Actinomycetales,5.5303e-10,1.0508e-08,1286.8064516129,1335.88888888889,39.625,1335.88888888889,39.625,2.81,COPD_IFNpositive,red
f__Bacteria_Rank_Actinobacteriota_Rank_Actinobacteria_Rank_Actinomycetales_Rank_Actinomycetaceae,5.5303e-10,1.0508e-08,1286.8064516129,1335.88888888889,39.625,1335.88888888889,39.625,2.81,COPD_IFNpositive,red
g__Bacteria_Rank_Proteobacteria_Rank_Gammaproteobacteria_Rank_Enterobacterales_Rank_Pasteurellaceae_Rank_Haemophilus,1.3134e-09,2.3394e-08,1257.1935483871,750.222222222222,56.9375,1257.1935483871,56.9375,2.78,COPD_IFNnegative,darkgreen
c__Bacteria_Rank_Firmicutes_Rank_Negativicutes,1.5472e-09,2.4497e-08,3266.90322580645,2786.44444444444,145.46875,3266.90322580645,145.46875,3.19,COPD_IFNnegative,darkgreen
c__Bacteria_Rank_Campylobacterota_Rank_Campylobacteria,2.8944e-09,2.9969e-08,47.741935483871,86.8888888888889,4.71875,86.8888888888889,4.71875,1.62,COPD_IFNpositive,red
o__Bacteria_Rank_Campylobacterota_Rank_Campylobacteria_Rank_Campylobacterales,2.8944e-09,2.9969e-08,47.741935483871,86.8888888888889,4.71875,86.8888888888889,4.71875,1.62,COPD_IFNpositive,red
f__Bacteria_Rank_Campylobacterota_Rank_Campylobacteria_Rank_Campylobacterales_Rank_Campylobacteraceae,3.1052e-09,2.9969e-08,47.6129032258064,86.7777777777778,4.71875,86.7777777777778,4.71875,1.62,COPD_IFNpositive,red
g__Bacteria_Rank_Campylobacterota_Rank_Campylobacteria_Rank_Campylobacterales_Rank_Campylobacteraceae_Rank_Campylobacter,3.1052e-09,2.9969e-08,47.6129032258064,86.7777777777778,4.71875,86.7777777777778,4.71875,1.62,COPD_IFNpositive,red
p__Bacteria_Rank_Fusobacteriota,3.1547e-09,2.9969e-08,2632.45161290323,4519.66666666667,154.0625,4519.66666666667,154.0625,3.34,COPD_IFNpositive,red
c__Bacteria_Rank_Fusobacteriota_Rank_Fusobacteriia,3.1547e-09,2.9969e-08,2632.45161290323,4519.66666666667,154.0625,4519.66666666667,154.0625,3.34,COPD_IFNpositive,red
o__Bacteria_Rank_Fusobacteriota_Rank_Fusobacteriia_Rank_Fusobacteriales,3.1547e-09,2.9969e-08,2632.45161290323,4519.66666666667,154.0625,4519.66666666667,154.0625,3.34,COPD_IFNpositive,red
o__Bacteria_Rank_Proteobacteria_Rank_Gammaproteobacteria_Rank_Enterobacterales,3.7844e-09,3.4792e-08,1544.25806451613,880.888888888889,79.65625,1544.25806451613,79.65625,2.87,COPD_IFNnegative,darkgreen
g__Bacteria_Rank_Actinobacteriota_Rank_Actinobacteria_Rank_Propionibacteriales_Rank_Propionibacteriaceae_Rank_Cutibacterium,4.2815e-09,3.8132e-08,0.0967741935483871,0.222222222222222,11.78125,11.78125,0.0967741935483871,0.835,TB_IFNpositive,blue
f__Bacteria_Rank_Bacteroidota_Rank_Bacteroidia_Rank_Bacteroidales_Rank_Porphyromonadaceae,4.5906e-09,3.848e-08,1081.1935483871,922.222222222222,74.875,1081.1935483871,74.875,2.7,COPD_IFNnegative,darkgreen
g__Bacteria_Rank_Bacteroidota_Rank_Bacteroidia_Rank_Bacteroidales_Rank_Porphyromonadaceae_Rank_Porphyromonas,4.5906e-09,3.848e-08,1081.1935483871,922.222222222222,74.875,1081.1935483871,74.875,2.7,COPD_IFNnegative,darkgreen
p__Bacteria_Rank_Proteobacteria,4.8475e-09,3.8741e-08,7725.58064516129,13597.5555555556,1102.8125,13597.5555555556,1102.8125,3.8,COPD_IFNpositive,red
f__Bacteria_Rank_Firmicutes_Rank_Bacilli_Rank_Lactobacillales_Rank_Streptococcaceae,5.1213e-09,3.8741e-08,20174.0967741935,20350.2222222222,2573.71875,20350.2222222222,2573.71875,3.95,COPD_IFNpositive,red
g__Bacteria_Rank_Firmicutes_Rank_Bacilli_Rank_Lactobacillales_Rank_Streptococcaceae_Rank_Streptococcus,5.1213e-09,3.8741e-08,20174.0967741935,20350.2222222222,2573.71875,20350.2222222222,2573.71875,3.95,COPD_IFNpositive,red
c__Bacteria_Rank_Actinobacteriota_Rank_Actinobacteria,5.1654e-09,3.8741e-08,2110.29032258065,2528.88888888889,34946,34946,2110.29032258065,4.22,TB_IFNpositive,blue
o__Bacteria_Rank_Firmicutes_Rank_Bacilli_Rank_Lactobacillales,7.2322e-09,5.2851e-08,20725.3225806452,20769.2222222222,2778.25,20769.2222222222,2778.25,3.95,COPD_IFNpositive,red
f__Bacteria_Rank_Bacteroidota_Rank_Bacteroidia_Rank_Bacteroidales_Rank_Tannerellaceae,8.1494e-09,5.4393e-08,13.1935483870968,27,2.25,27,2.25,1.13,COPD_IFNpositive,red
g__Bacteria_Rank_Bacteroidota_Rank_Bacteroidia_Rank_Bacteroidales_Rank_Tannerellaceae_Rank_Tannerella,8.1494e-09,5.4393e-08,13.1935483870968,27,2.25,27,2.25,1.13,COPD_IFNpositive,red
p__Bacteria_Rank_Actinobacteriota,9.4195e-09,6.1013e-08,2311.09677419355,2792.88888888889,34966.03125,34966.03125,2311.09677419355,4.21,TB_IFNpositive,blue
f__Bacteria_Rank_Proteobacteria_Rank_Gammaproteobacteria_Rank_Burkholderiales_Rank_Neisseriaceae,1.1387e-08,7.055e-08,3301.96774193548,4717.88888888889,177.65625,4717.88888888889,177.65625,3.36,COPD_IFNpositive,red
