,Pvalues,FDR,COPD_IFNnegative,COPD_IFNpositive,TB_IFNpositive,max,min,LDAscore,class,color
f__Bacteria_Rank_Actinobacteriota_Rank_Actinobacteria_Rank_Corynebacteriales_Rank_Mycobacteriaceae,1.6789e-13,2.9716e-11,0.193548387096774,0.111111111111111,23838.625,23838.625,0.111111111111111,4.08,TB_IFNpositive,blue
o__Bacteria_Rank_Actinobacteriota_Rank_Actinobacteria_Rank_Corynebacteriales,4.1538e-12,3.6761e-10,18.7096774193548,19.8888888888889,23843.53125,23843.53125,18.7096774193548,4.08,TB_IFNpositive,blue
f__Bacteria_Rank_Fusobacteriota_Rank_Fusobacteriia_Rank_Fusobacteriales_Rank_Fusobacteriaceae,3.7149e-10,9.7887e-09,1948.61290322581,4124.33333333333,56.84375,4124.33333333333,56.84375,3.31,COPD_IFNpositive,red
f__Bacteria_Rank_Bacteroidota_Rank_Bacteroidia_Rank_Bacteroidales_Rank_Prevotellaceae,3.7371e-10,9.7887e-09,8398.16129032258,7327.55555555556,327.625,8398.16129032258,327.625,3.61,COPD_IFNnegative,darkgreen
o__Bacteria_Rank_Bacteroidota_Rank_Bacteroidia_Rank_Bacteroidales,3.7759e-10,9.7887e-09,9505,8282.66666666667,406.25,9505,406.25,3.66,COPD_IFNnegative,darkgreen
p__Bacteria_Rank_Bacteroidota,4.1243e-10,9.7887e-09,9549.41935483871,8522,423.28125,9549.41935483871,423.28125,3.66,COPD_IFNnegative,darkgreen
c__Bacteria_Rank_Bacteroidota_Rank_Bacteroidia,4.1243e-10,9.7887e-09,9549.41935483871,8522,423.28125,9549.41935483871,423.28125,3.66,COPD_IFNnegative,darkgreen
c__Bacteria_Rank_Proteobacteria_Rank_Gammaproteobacteria,5.32e-10,9.7887e-09,7445.90322580645,13356.1111111111,287.59375,13356.1111111111,287.59375,3.82,COPD_IFNpositive,red
o__Bacteria_Rank_Actinobacteriota_Rank_Actinobacteria_Rank_Actinomycetales,5.5303e-10,9.7887e-09,1286.87096774194,1335.88888888889,39.625,1335.88888888889,39.625,2.81,COPD_IFNpositive,red
f__Bacteria_Rank_Actinobacteriota_Rank_Actinobacteria_Rank_Actinomycetales_Rank_Actinomycetaceae,5.5303e-10,9.7887e-09,1286.87096774194,1335.88888888889,39.625,1335.88888888889,39.625,2.81,COPD_IFNpositive,red
p__Bacteria_Rank_Fusobacteriota,1.3144e-09,1.5787e-08,3429.22580645161,5376.88888888889,231.84375,5376.88888888889,231.84375,3.41,COPD_IFNpositive,red
c__Bacteria_Rank_Fusobacteriota_Rank_Fusobacteriia,1.3144e-09,1.5787e-08,3429.22580645161,5376.88888888889,231.84375,5376.88888888889,231.84375,3.41,COPD_IFNpositive,red
o__Bacteria_Rank_Fusobacteriota_Rank_Fusobacteriia_Rank_Fusobacteriales,1.3144e-09,1.5787e-08,3429.22580645161,5376.88888888889,231.84375,5376.88888888889,231.84375,3.41,COPD_IFNpositive,red
c__Bacteria_Rank_Firmicutes_Rank_Negativicutes,1.3379e-09,1.5787e-08,3304.83870967742,2813.11111111111,147.28125,3304.83870967742,147.28125,3.2,COPD_IFNnegative,darkgreen
c__Bacteria_Rank_Campylobacterota_Rank_Campylobacteria,2.807e-09,2.4013e-08,49.8387096774194,89.5555555555556,4.875,89.5555555555556,4.875,1.64,COPD_IFNpositive,red
